rank,feature_index,feature,coef_std,abscoef_std,cluster_size,cluster_root
247,571,thetao W30p0 EOF2 lag5,0.01591365240770947,0.01591365240770947,1,571
248,252,thetao W60p0 EOF3 lag25,-0.015905064871696992,0.015905064871696992,1,252
249,2579,so W10p0 EOF10 lag23,0.015903798082014694,0.015903798082014694,1,2579
250,1755,so W40p0 EOF6 lag19,0.015878158672190258,0.015878158672190258,1,1755
251,69,thetao W60p0 EOF10 lag6,0.015873204522801485,0.015873204522801485,1,69
252,2317,so W20p0 EOF8 lag23,0.015861450299979683,0.015861450299979683,1,2317
253,305,thetao W40p0 EOF6 lag4,0.01584629604753803,0.01584629604753803,1,305
254,789,thetao W20p0 EOF10 lag0,0.01580330151182256,0.01580330151182256,1,789
255,2098,so W20p0 EOF9 lag1,0.01579956214854698,0.01579956214854698,1,2098
256,1358,so W60p0 EOF9 lag5,0.01579648806092946,0.01579648806092946,1,1358
257,1334,so W60p0 EOF5 lag3,-0.01579391501380323,0.01579391501380323,1,1334
258,1481,so W60p0 EOF2 lag18,-0.015772627058851175,0.015772627058851175,1,1481
259,767,thetao W30p0 EOF8 lag24,-0.015750453157026823,0.015750453157026823,1,767
260,812,thetao W20p0 EOF3 lag3,-0.015742157770923658,0.015742157770923658,1,812
261,2268,so W20p0 EOF9 lag18,0.01571798035380561,0.01571798035380561,1,2268
262,269,thetao W40p0 EOF10 lag0,0.015709257164881526,0.015709257164881526,1,269
263,1070,thetao W10p0 EOF1 lag3,-0.015708184167998726,0.015708184167998726,1,1070
264,1623,so W40p0 EOF4 lag6,-0.01566142928449121,0.01566142928449121,1,1623
265,1836,so W30p0 EOF7 lag1,-0.015642877013991467,0.015642877013991467,1,1836
266,1625,so W40p0 EOF6 lag6,-0.01562355767625009,0.01562355767625009,1,1625
267,2238,so W20p0 EOF9 lag15,0.015584036811128226,0.015584036811128226,1,2238
268,916,thetao W20p0 EOF7 lag13,0.0155786285253798,0.0155786285253798,1,916
269,2472,so W10p0 EOF3 lag13,0.01550880657692628,0.01550880657692628,1,2472
270,1532,so W60p0 EOF3 lag23,-0.015498245844197046,0.015498245844197046,1,1532
271,352,thetao W40p0 EOF3 lag9,-0.015443641599730669,0.015443641599730669,1,352
272,749,thetao W30p0 EOF10 lag22,0.015442941943862434,0.015442941943862434,1,749
273,1835,so W30p0 EOF6 lag1,-0.01542288800747774,0.01542288800747774,1,1835
274,534,thetao W30p0 EOF5 lag1,-0.015347376303604032,0.015347376303604032,1,534
275,1287,thetao W10p0 EOF8 lag24,0.015347011721922427,0.015347011721922427,1,1287
276,557,thetao W30p0 EOF8 lag3,-0.015316257303372344,0.015316257303372344,1,557
277,1178,thetao W10p0 EOF9 lag13,-0.015315472773887331,0.015315472773887331,1,1178
278,1283,thetao W10p0 EOF4 lag24,-0.015273478106637456,0.015273478106637456,1,1283
279,366,thetao W40p0 EOF7 lag10,-0.015270081910639175,0.015270081910639175,1,366
280,1107,thetao W10p0 EOF8 lag6,-0.015250305498907837,0.015250305498907837,1,1107
281,978,thetao W20p0 EOF9 lag19,-0.01524223434578802,0.01524223434578802,1,978
282,273,thetao W40p0 EOF4 lag1,0.015165864973714424,0.015165864973714424,1,273
283,2357,so W10p0 EOF8 lag1,-0.015154695620676527,0.015154695620676527,1,2357
284,1838,so W30p0 EOF9 lag1,-0.015147715200700792,0.015147715200700792,1,1838
285,1048,thetao W10p0 EOF9 lag0,0.015114979293940735,0.015114979293940735,1,1048
286,1324,so W60p0 EOF5 lag2,-0.015085021672265574,0.015085021672265574,1,1324
287,2047,so W30p0 EOF8 lag22,0.015081417468274065,0.015081417468274065,1,2047
288,1599,so W40p0 EOF10 lag3,-0.015073956087494412,0.015073956087494412,1,1599
289,1501,so W60p0 EOF2 lag20,-0.01506383218952912,0.01506383218952912,1,1501
290,1233,thetao W10p0 EOF4 lag19,-0.015046293619681262,0.015046293619681262,1,1233
291,1357,so W60p0 EOF8 lag5,0.015021684033821448,0.015021684033821448,1,1357
292,2093,so W20p0 EOF4 lag1,0.014975443455799535,0.014975443455799535,1,2093
293,550,thetao W30p0 EOF1 lag3,0.01494480262660106,0.01494480262660106,1,550
294,26,thetao W60p0 EOF7 lag2,0.014937793391454679,0.014937793391454679,1,26
295,613,thetao W30p0 EOF4 lag9,-0.014931438567926,0.014931438567926,1,613
