N_seeds,W,alpha,mean_val_r2,std_val_r2,mean_val_corr,mean_val_var_ratio,mean_n_features,mean_max_lag,n_folds_used
15,0,10.0,-0.7800762502693487,0.2826970570879197,0.039597922186202325,0.49069241517950446,15.0,21.5,4
15,2,1000.0,-0.7811073021446813,1.0918099081336503,0.09267495682010883,0.18936517383170948,46.25,23.0,4
5,3,1000.0,-0.7923482021311122,1.1681815200374266,0.18718868529406954,0.15161881161198454,22.0,23.0,4
15,1,1000.0,-0.8441483588847457,1.189926511267669,0.10688965385538801,0.17017979518556503,31.0,22.25,4
10,1,1000.0,-0.8639562187275457,1.2686255858868085,0.16226363377670341,0.1535247467912725,22.5,21.5,4
5,2,1000.0,-0.8898198988682097,1.2922348230003873,0.18974057950204942,0.14469866085977923,17.25,22.25,4
20,0,1000.0,-0.8983795450377157,1.1961236063090623,0.1209382533400278,0.1355787138612741,20.0,22.75,4
30,2,10.0,-0.9175524461698072,0.49642896165683786,0.29132597530022797,0.5946979522826452,82.0,25.0,4
40,3,1.0,-0.928951301185742,0.3670159329187767,0.08902506415730303,0.6937199848148274,125.75,25.0,4
50,3,0.1,-0.9591915277949679,0.679075151273908,0.1943153075371729,0.7839663535681289,152.75,25.0,4
15,0,1000.0,-0.997654996874838,1.3433127720816598,0.1195548887188759,0.12354819785397503,15.0,21.5,4
30,0,10.0,-1.0083542183960845,0.7497666134823028,0.2621375867890298,0.6505020825453738,30.0,24.25,4
50,3,0.01,-1.0166765471051826,0.7263415407703194,0.18365337857571726,0.797493165303644,152.75,25.0,4
50,3,0.001,-1.0231344182375024,0.7319411127497546,0.18252153914615724,0.7989961305603477,152.75,25.0,4
50,3,0.0001,-1.023788110556091,0.7325110165145684,0.18240768979274996,0.7991481148704552,152.75,25.0,4
5,1,1000.0,-1.0651781219614447,1.5234072179942266,0.18598434473115477,0.12042749400908452,11.25,21.25,4
5,2,10.0,-1.0706218332315391,0.9565754021079769,0.15096220034968805,0.552350508162887,17.25,22.25,4
10,0,1000.0,-1.1391053563344666,1.563734538198196,0.17846097889485715,0.09966245318013414,10.0,20.5,4
20,0,10.0,-1.140218003741015,0.8750836735208448,0.1481619185079015,0.599037502250941,20.0,22.75,4
30,3,10.0,-1.1962810393987637,0.6052429858548669,0.12708431493221828,0.6981374144362876,103.75,25.0,4
50,2,1.0,-1.1996375997873396,1.150957350430088,0.10636489387900283,0.6922907830139671,121.25,25.0,4
10,1,10.0,-1.2559614351894683,0.3714256392293703,0.08626543375887898,0.62161596299672,22.5,21.5,4
5,3,10.0,-1.280335221047651,1.1668298748941173,0.14960261781956866,0.643069044592425,22.0,23.0,4
50,3,10000.0,-1.3012427819593744,1.6424565184814721,0.10779629953639,0.06594804877479182,152.75,25.0,4
15,3,10.0,-1.3117238287280304,1.0162667571707051,0.12888285792345713,0.7267382588297538,59.5,23.75,4
50,2,10000.0,-1.3433970617867208,1.697078840058869,0.09498838398016823,0.061218092414811735,121.25,25.0,4
5,0,1000.0,-1.3567316263344356,1.8024371704338353,0.14026029405910528,0.07654422412209991,5.0,20.25,4
30,3,10000.0,-1.3571864513950724,1.8036171387778168,0.0831295978305831,0.05481933645847896,103.75,25.0,4
40,3,10000.0,-1.3579797553455661,1.753713637913158,0.09314827841890866,0.06491607378415974,125.75,25.0,4
40,2,10000.0,-1.3948196262212273,1.7990427722249662,0.06617501498787182,0.05941467475612969,99.75,25.0,4
10,3,10.0,-1.394931283387419,0.9889243006714783,0.14526523814475506,0.7374135334393803,44.25,23.25,4
30,2,10000.0,-1.3966104434887303,1.8457501919375514,0.07674257390820807,0.04891965845003016,82.0,25.0,4
50,1,10000.0,-1.3972982453994667,1.7796380819843856,0.08868036311240612,0.053408567006824566,87.5,25.0,4
10,2,10.0,-1.4220362314913442,0.2883148742870446,0.08141788220124208,0.6664091562852622,34.25,22.5,4
20,3,10000.0,-1.4303985534656078,1.839974702183441,0.061151192589521314,0.0461536944808844,76.0,24.75,4
15,1,10.0,-1.4482164265336204,0.2172039490667878,0.07763942528287225,0.6542625741928803,31.0,22.25,4
40,1,10000.0,-1.4485589666972658,1.86660849976204,0.05256923318764892,0.0506121790077942,71.75,25.0,4
30,1,10000.0,-1.4534653849165438,1.9020999361152744,0.08317040224255456,0.03996860753488279,57.25,24.75,4
20,2,10000.0,-1.4741083704540252,1.8998009746356692,0.049524663816616625,0.0412800458511078,59.5,24.25,4
50,0,10000.0,-1.4913340599197744,1.9041874256693785,0.11139398910642628,0.03876613270037082,50.0,25.0,4
5,1,0.01,-1.4961413350200203,0.942872135213209,0.12449074335031664,0.9239438126352093,11.25,21.25,4
5,1,0.001,-1.509868301805978,0.9615032781174232,0.12729688814277806,0.9317760050356192,11.25,21.25,4
5,1,0.0001,-1.5116815896849052,0.9640794515440285,0.12761275410329098,0.9326463424913013,11.25,21.25,4
