n_features,maxlag_used,overall_r2,overall_corr,delta_r2,calib_a,calib_b,n_train_used,n_test_used,last_added_feature
139,20,0.2766199783562011,0.6607126501472848,-0.09151883682073747,1.0596929307962546,-0.7475906817558551,120,25,thetao W60p0 EOF7 lag0
140,20,0.2766672962008795,0.6607292340969402,4.7317844678373966e-05,1.0596959260732532,-0.747628194425174,120,25,thetao W40p0 EOF3 lag18
141,20,0.2701061711619047,0.6578585199553998,-0.006561125038974769,1.0596621742362704,-0.7472054884450202,120,25,thetao W60p0 EOF2 lag7
142,20,0.27552205867665525,0.6599323936785347,0.005415887514750528,1.059749152105486,-0.7482947940575447,120,25,so W30p0 EOF5 lag16
143,20,0.2735608830333358,0.6594612836422601,-0.001961175643319435,1.0596854026522022,-0.7474963997316857,120,25,thetao W40p0 EOF3 lag13
144,20,0.27354390842682164,0.6594647947179851,-1.697460651417515e-05,1.0596810251557216,-0.7474415762285503,120,25,thetao W30p0 EOF3 lag19
145,20,0.30232406412090884,0.6702337963164964,0.028780155694087206,1.061473370532234,-0.7698888021243977,120,25,thetao W20p0 EOF9 lag6
146,20,0.30226031571941314,0.6702196224583695,-6.374840149570016e-05,1.0614726113649118,-0.7698792943584268,120,25,thetao W40p0 EOF3 lag7
147,20,0.30128350200409015,0.6698637533688347,-0.0009768137153229883,1.0615624847447995,-0.7710048631727953,120,25,thetao W40p0 EOF3 lag9
148,20,0.297409306885987,0.6689174809112718,-0.003874195118103163,1.062402966015184,-0.781531000146609,120,25,thetao W40p0 EOF3 lag10
149,20,0.29912770669852384,0.669592530809844,0.0017183998125368527,1.0623948379333075,-0.7814292045371372,120,25,so W10p0 EOF8 lag17
150,20,0.31048559909308493,0.6742159799714036,0.011357892394561087,1.062589088634169,-0.7838619886532976,120,25,so W60p0 EOF3 lag20
151,20,0.26741990565573925,0.6558911375219977,-0.043065693437345676,1.06318168880202,-0.7912836775800007,120,25,thetao W60p0 EOF2 lag2
152,20,0.2611192609551246,0.654432539202879,-0.006300644700614644,1.0629214085806031,-0.7880239437123323,120,25,thetao W30p0 EOF7 lag10
153,20,0.25862174904913193,0.6536557506643783,-0.0024975119059926776,1.0628404067951127,-0.7870094822136223,120,25,thetao W40p0 EOF3 lag16
154,20,0.28208777319844236,0.661962053177265,0.023466024149310427,1.063219593885724,-0.7917583985727662,120,25,thetao W20p0 EOF2 lag0
155,20,0.2931026962034503,0.666428972431467,0.011014923005007948,1.0635717670569576,-0.7961689942273297,120,25,thetao W40p0 EOF5 lag19
156,20,0.29434599328520916,0.6667719037508327,0.001243297081758854,1.063654961075333,-0.7972109111190853,120,25,thetao W40p0 EOF3 lag2
157,20,0.2972319823572741,0.668070791092132,0.002885989072064943,1.064183886353886,-0.8038351395547992,120,25,so W30p0 EOF5 lag15
158,20,0.28704364301777086,0.6647153409729671,-0.01018833933950325,1.0640757732538162,-0.8024811375798668,120,25,thetao W20p0 EOF9 lag14
159,20,0.2924696983899209,0.6665592853988962,0.005426055372150018,1.0641935207824247,-0.8039558005594342,120,25,so W30p0 EOF3 lag0
160,20,0.2973782263869711,0.6685249443505215,0.004908527997050216,1.0640930338365555,-0.8026973080818822,120,25,so W60p0 EOF1 lag13
161,20,0.29860882994492677,0.6690040236702142,0.0012306035579556784,1.0642817706359045,-0.80506103642653,120,25,thetao W30p0 EOF6 lag20
162,20,0.30833644160615437,0.6733490599296881,0.009727611661227598,1.0646057495933203,-0.8091185294398228,120,25,so W10p0 EOF5 lag13
163,20,0.3018109588245612,0.6711457239054633,-0.00652548278159315,1.0642468927422135,-0.804624227779758,120,25,thetao W30p0 EOF4 lag15
164,20,0.30116958658611315,0.6708966742972642,-0.000641372238448068,1.0642540796914692,-0.8047142367007842,120,25,so W10p0 EOF8 lag16
165,20,0.29851013312740426,0.6700081446494434,-0.0026594534587088825,1.0647158394412803,-0.8104972880866659,120,25,thetao W60p0 EOF2 lag16
166,20,0.31130630060773223,0.6752404221888133,0.012796167480327969,1.0649314494495943,-0.8131975748871083,120,25,so W30p0 EOF5 lag18
167,20,0.3014482539971166,0.6717100103855911,-0.009858046610615623,1.0647944779481129,-0.8114821520253407,120,25,so W40p0 EOF3 lag3
168,20,0.30518575925546054,0.6728312005071599,0.0037375052583439317,1.0659372908997058,-0.8257946728247781,120,25,thetao W40p0 EOF3 lag1
169,20,0.3037908686452795,0.6721384171727225,-0.0013948906101810543,1.065959372043663,-0.8260712157461125,120,25,thetao W60p0 EOF2 lag9
